,               设计宝藏网址合集（在线更新）,,,,,,,,
,整理不易  请认准米你课堂    谨防骗子冒充  尤其是火虎教育 大骗子  骗学生学费    还有大鹏教育 骚扰粉丝,,,,,,,,
,版权说明：
Creative Commons（知识共享）简称CC协议素材，创作者主动放弃著作的部分权利，还是会有所限制，例如要求标注来源、作者名等，请看到CC协议时看清须知。 PD协议证明作品已捐献给公共领域。
CC0协议意味着创作者主动放弃了著作的所有权利，可以无条件使用包括商用。（但是，不可上传至其他素材网站、不可声称拥有版权，不可用于不法途径，图像中所涉及的内容仍有可能涉及商标权和公共及隐私权。,,,,,,,,
,序号,描述,图片,视频,矢量,网址,协议类型,是否明确写明无版权，可免费商用,备注
,1,人物、风景、动物等摄影图片,√,,,https://www.pexels.com/,CC0协议,是,
,2,高清视频、图片（中文网）,√,√,,https://www.ssyer.com/,CC0协议,是,
,3,人物、风景、动物等摄影图片,√,,,https://visualhunt.com/,CC0协议,是,
,4,照片、插画、矢量、视频,√,√,√,https://pixabay.com/,无明确写出,是,有苹果端APP
,5,高清艺术摄影图片（最多人使用）,√,,,https://unsplash.com/,无明确写出,是,有苹果端APP
,6,色彩靓丽的风景、植物、动物,√,√,,http://en.freejpg.com.ar/,无明确写出,是,
,7,专业摄影师作品,√,,,http://skuawk.com/,PD协议,是,
,8,高清静物、风景图片,√,,,https://picjumbo.com/,无明确写出,是,图片风格适合界面设计
,9,建筑、静物等小清新高清图片,√,,,https://kaboompics.com/,无明确写出,是,
,10,时尚流行摄影图库,√,,,https://gratisography.com/,无明确写出,是,
,11,食物摄影高清图库,√,,,https://foodiesfeed.com,CC0协议,是,
,12,带宗教色彩的高清图片,√,,,https://beta.freelyphotos.com/,CC0协议,是,
,13,唯美冷调的风景高清图片,√,,,http://cupcake.nilssonlee.se/,CC0协议,是,
,14,自然风光、街头建筑,√,,,http://streetwill.co/,CC0协议,是,
,15,ins风图片、静物,√,,,http://photos.oliur.com/,CC0协议,是,
,16,旅行高清图片,√,,,http://www.polayoutu.com/collections,CC0协议,是,中国网站，速度较快
,17,风景、食物图片,√,,,https://www.lifeofpix.com/,PD协议,是,
,18,唯美的风景视频,,√,,https://lifeofvids.com/,PD协议,是,
,19,静物、建筑，复古风,√,,,http://fancycrave.com/,CC0协议,是,
,20,花卉植物较多,√,,,https://mmtstock.com/,CC0协议,是,
,21,人物、艺术、自然、矢量图标,√,,√,http://imcreator.com/free,无明确写出,部分可商用,可商用的在下载页左侧会标明
,22,复古风格的图片,√,,,http://nos.twnsnd.co,无明确写出,大部分可商用,留意下载链接版权说明
,23,精致文艺的图片,√,,,https://magdeleine.co/browse/,CC0、PD协议,是,
,24,大量的树木、石头、金属等材质纹理图，可用于2D、3D贴图,√,,,https://www.textures.com/,无明确写出,可用于各种合成各种平面设计、材质贴图,免费用户可下载15张/天，不可将素材二次销售，若产品使用了素材需标明来源于textures.com。
,25,静物风景图片,√,,,http://www.designerspics.com/,无明确写出,是,
,26,各种邮票图片,√,,,http://viintage.com/,PD协议,是,
,27,有白底素材、风景人物图片,√,,,http://www.freemagebank.com/,无明确写出,版权翻译：可用于网站上、电子文件、
多媒体演示、广告宣传材料、
在印刷文件中、装饰,
,28,各种各样食材的高清白底图片（日文网）,√,,,http://sozai-page.com/,无明确写出,是,
,29,各类素材图片、建筑,√,,,https://www.stockvault.net/,无明确写出,部分可商用，请看清作者授权,
,30,各种各样的高清视频素材,,√,,http://coverr.co/,无明确写出,是,
,31,各种ICON图标素材,,,√,https://dryicons.com/,无明确写出,大部分可商用,在下载页Commercial Use打勾的都可商用
,32,各种ICON图标素材（日文网）,,,√,http://flat-icon-design.com,无明确写出,是,
,33,日式可爱插画风Icon,√,,√,http://flat-icon-design.com/,无明确写出,是,
,34,剪贴画,√,,√,https://zh-tw.ac-illust.com/,无明确写出,是,每天可免费下载9个图片
,35,各种ICON图标素材（中文网）,,,√,http://iconfont.cn/,无明确写出,无明确写出,设计师使用时最好做调整修改
,36,免扣png素材网,√,,√,http://pngimg.com/,无明确写出,是,非常棒的免扣素材网站
,37,地图生成器,,,√,http://datav.aliyun.com/tools/atlas/#&lat=35.4983286648339&lng=96.24034459217773&zoom=6.5,无明确写出,是,免费省事的地图网站
,38,3d文字背景生成器,,√,,https://spacetypegenerator.com/layers.html,无明确写出,是,一键3d软件
,39,图片美化合成神器,√,,,https://www.ostagram.me/lenta?locale=en,无明确写出,是,一键合成图片
,40,找字体神器,√,,,http://www.qiuziti.com/fontcomple.html,无明确写出,是,查找海报中用到的字体
